Sample_ID,Site,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes
1,1,0.17,0.69,0.66,0.56,
2,2,0.17,0.73,0.74,1.44,
3,3,0.14,0.69,0.21,1.01,
4,4,0.20,0.82,3.18,4.43,
5,5,0.14,0.69,0.63,1.66,
6,6,0.14,0.67,0.64,1.57,
7,7,0.12,0.98,0.30,1.12,
8,8,0.13,0.70,0.75,2.00,
9,9,0.11,0.70,0.27,0.20,
10,10,0.14,0.68,0.64,0.56,
11,11,0.15,1.05,0.38,1.03,
12,12,0.15,0.71,0.98,2.51,
13,13,0.11,1.29,0.38,0.10,
14,14,0.11,0.78,0.63,1.43,
15,15,0.34,0.95,0.75,1.78,
16,16,0.14,1.39,0.89,2.49,
17,17,0.13,0.91,0.99,2.81,
19,19,0.13,0.62,0.73,2.43,
20,20,0.13,0.72,0.91,2.49,
21,21,0.12,0.96,1.40,2.52,
22,22,0.10,0.75,0.19,1.74,
24,24,0.12,1.01,0.64,2.65,
25,25,0.13,0.54,0.68,2.79,
26,26,0.09,0.86,0.40,2.43,
27,27,0.11,0.70,0.18,0.17,
28,28,0.12,0.68,0.50,2.45,
29,29,0.13,0.70,0.82,2.58,
31,31,0.12,0.74,0.57,1.54,
32,32,0.12,0.69,0.49,1.37,
33,33,0.10,0.68,0.55,2.49,
34,34,0.09,0.67,0.55,2.43,
35,35,0.16,0.75,0.48,2.50,
36,36,0.17,1.36,1.33,2.82,
37,37,0.10,0.81,0.64,1.36,
38,38,0.12,0.78,0.99,2.82,
39,39,0.10,0.72,1.01,2.73,
40,40,0.13,0.71,0.62,1.62,
41,41,0.12,0.72,0.51,2.44,
42,42,0.11,0.74,1.09,3.34,
43,43,0.66,0.42,0.49,1.47,
44,44,0.10,0.61,0.31,2.06,
45,45,0.16,0.75,0.90,1.50,
46,46,0.16,0.76,0.54,1.04,
47,47,0.13,0.68,0.31,1.14,
48,48,0.13,0.72,0.66,2.45,
49,49,0.15,1.91,0.19,1.06,
50,50,0.10,0.68,0.57,1.54,
51,51,0.11,1.60,0.56,2.02,
52,52,0.15,0.73,0.86,1.76,
53,53,0.11,2.27,0.95,1.74,
54,54,0.11,0.65,0.39,2.06,
55,55,0.11,0.42,0.36,1.63,
56,56,0.10,0.68,0.76,1.89,
57,57,0.16,0.66,0.79,1.09,
58,58,0.10,0.54,0.15,1.35,
59,59,0.13,0.70,0.67,1.55,
60,60,0.13,0.70,0.76,1.74,
61,61,0.16,0.76,3.26,3.13,
62,62,0.11,0.73,0.78,1.66,
63,63,0.12,0.52,0.29,1.44,
64,64,0.13,0.72,0.33,1.38,
65,65,0.14,0.75,0.47,1.37,
66,66,0.16,0.87,0.39,1.49,
67,67,0.12,1.48,0.24,1.46,
68,68,0.15,1.25,1.12,1.79,
69,69,0.14,0.91,0.16,1.48,
70,70,0.13,0.67,0.86,0.60,
71,71,0.12,0.66,0.53,1.55,
72,72,0.14,0.54,0.28,1.63,
73,73,0.12,0.66,0.18,0.22,
74,74,0.15,0.64,0.64,2.05,
75,75,0.14,0.60,0.27,1.85,
76,76,0.14,0.67,0.69,1.62,
77,77,0.14,0.66,0.75,2.24,
78,78,0.16,0.63,0.69,1.75,
79,79,0.15,0.59,0.72,2.84,
80,80,0.15,0.82,0.93,0.67,
81,81,0.09,0.61,0.60,0.56,
82,82,0.08,0.62,0.28,0.26,
83,83,0.12,0.49,0.49,0.52,
84,84,0.12,4.95,1.02,0.69,
85,85,0.09,0.57,0.32,0.36,
86,86,0.12,0.72,0.43,1.52,
87,87,0.15,0.78,0.49,1.14,
89,89,0.14,0.82,0.29,1.53,
90,90,0.08,0.42,0.32,2.34,
91,91,0.12,0.64,0.45,1.55,
92,92,0.10,0.64,0.47,1.79,
93,93,0.07,0.68,0.40,2.54,
94,94,0.10,0.59,0.66,1.89,
95,95,0.18,0.61,0.60,1.70,
96,96,0.14,1.15,0.61,1.71,
98,98,0.12,0.48,0.38,1.57,
99,99,0.13,0.91,0.29,1.54,
100,100,0.14,0.67,0.25,0.63,
101,101,0.13,0.51,0.17,1.14,
102,102,0.15,0.66,0.37,1.31,
103,103,0.17,0.69,0.46,1.63,
104,104,0.09,0.85,0.75,1.55,
105,105,0.16,0.68,0.61,1.39,
106,106,0.19,0.82,0.53,1.54,
107,107,0.17,0.88,0.60,1.25,
108,108,0.16,0.68,0.27,1.13,
109,109,0.15,0.64,0.32,1.81,
110,110,0.15,0.64,0.35,1.28,
111,111,0.12,0.66,0.35,1.81,
112,112,0.17,0.64,0.75,1.84,
113,113,0.13,0.97,0.91,1.61,
114,114,0.17,0.60,0.47,1.61,
115,115,0.17,0.71,0.84,4.55,
116,116,0.13,0.70,0.79,1.58,
117,117,0.19,0.70,0.50,1.61,
118,118,0.16,0.69,0.77,1.59,
119,119,0.13,0.73,0.70,1.97,
120,120,0.10,0.66,0.30,1.18,
121,121,0.13,0.61,0.55,0.97,
123,123,0.15,0.64,0.97,1.13,
126,,0.07,1.12,0.67,0.84,"Missing site 129, could this be it?"
126 NEW,126,0.09,0.68,1.00,1.87,
127,127,0.15,0.69,1.01,1.15,
128,128,0.17,0.79,1.12,1.49,
130,130,0.13,0.96,0.93,0.99,
131,131,0.12,1.00,0.55,0.44,
132,132,0.14,0.92,0.97,0.84,
133,133,0.12,0.77,0.71,1.20,
134,134,0.14,0.70,1.05,1.11,
135,135,0.11,0.71,0.74,0.90,
136,136,0.12,0.70,0.96,0.94,
137,137,0.14,0.85,0.75,1.00,
138,138,0.11,1.01,0.83,1.09,
139,139,0.14,0.89,0.78,1.72,
140,140,0.14,1.18,1.10,2.41,
142,142,0.18,0.56,0.82,2.72,
143,143,0.14,0.53,0.64,1.28,
144,,0.13,0.82,0.70,1.63,Duplicated.  Not sure why
144,144,0.11,1.04,0.75,1.57,Duplicated.  Not sure why
145,,0.14,3.15,0.93,2.32,Duplicated.  Not sure why
145,145,0.13,1.20,1.02,1.68,Duplicated.  Not sure why
146,146,0.17,0.50,0.65,0.64,
147,147,0.14,0.78,0.76,2.03,
148,148,0.17,0.68,0.99,1.24,
149,149,0.17,0.54,0.72,1.69,
150,150,0.16,0.76,0.84,2.48,
151,151,0.15,0.72,0.71,1.60,
152,152,0.16,0.78,0.84,1.22,
153,153,0.15,0.73,0.70,0.58,
154,154,0.17,0.70,0.73,0.57,
155,155,0.15,0.58,0.68,1.59,
156,156,0.17,0.76,0.80,1.21,
157,157,0.14,0.84,1.00,2.60,
158,158,0.17,0.67,0.75,1.34,
159,159,0.13,0.82,0.30,-0.01,
160,160,0.15,0.65,0.81,0.53,
161,161,0.11,0.38,0.63,1.55,
162,162,0.14,0.79,1.00,1.20,
163,163,0.14,0.66,0.31,0.16,
164,164,0.16,0.60,0.67,0.44,
165,165,0.14,0.76,0.68,0.14,
166,166,0.16,0.64,0.34,0.13,
167,167,0.13,0.56,0.57,0.81,
168,168,0.13,0.76,0.90,0.37,
169,169,0.16,0.65,0.72,0.38,
170,170,0.17,0.57,0.34,0.10,
171,171,0.12,0.65,0.95,1.16,
172,172,0.20,1.07,0.96,0.79,
173,173,0.19,0.68,0.76,0.55,
175,175,0.17,0.69,1.10,0.62,
176,176,0.11,0.63,0.38,0.63,
177,177,0.10,0.44,0.20,0.33,
178,178,0.11,1.04,0.72,0.48,
179,179,0.12,0.68,0.22,0.11,
180,180,0.14,0.87,0.70,1.58,
181,181,0.10,0.36,0.17,0.25,
182,182,0.09,0.34,0.14,0.21,
183,183,0.13,0.51,0.20,0.35,
184,184,0.16,0.89,0.76,1.80,
185,185,0.11,0.30,0.21,0.50,
186,186,0.16,0.61,0.82,0.49,
187,187,0.11,0.54,0.36,0.71,
188,188,0.15,0.74,0.32,0.17,
200,200,0.17,0.71,1.07,1.21,
201,201,0.15,0.68,0.57,2.25,
202,202,0.16,2.41,0.72,1.82,
203,203,0.16,0.90,0.94,2.04,
204,204,0.16,1.38,0.70,1.64,
205,205,0.18,1.27,1.16,1.78,
206,206,0.15,0.80,1.03,3.29,
208,208,0.16,2.66,0.48,1.84,
209,209,0.11,0.60,0.51,1.94,
OPU 1,OPU 1,0.17,2.44,1.13,2.56,
OPU 2,OPU 2,0.17,2.03,1.35,2.67,
LTER FRINGE 3,LTER 3 Back Reef,0.17,0.62,0.45,1.16,
LTER BACK 3,LTER 3 Fringe Reef,0.16,0.62,0.28,1.11,
LTER FRINGE 6,LTER 6 Fringe,0.15,1.26,0.56,1.22,
